City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kruisfontein,ZA,-34.0033,24.7314,60.89,60,21,14.32,few clouds
1,Padang,ID,-0.9492,100.3543,75.25,96,100,4.0,light rain
2,Goderich,CA,43.7501,-81.7165,40.91,88,100,13.35,light rain
3,Alyangula,AU,-13.8483,136.4192,85.41,67,7,7.67,clear sky
4,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,79.7,67,99,2.64,overcast clouds
5,Busselton,AU,-33.65,115.3333,56.48,60,86,11.18,overcast clouds
6,Albany,US,42.6001,-73.9662,52.36,74,64,1.99,broken clouds
7,Launceston,AU,-41.45,147.1667,51.44,92,100,12.66,moderate rain
8,Saint George,US,37.1041,-113.5841,61.43,24,0,5.01,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,53.11,54,3,8.84,clear sky
10,Tasiilaq,GL,65.6145,-37.6368,35.76,78,100,29.39,light rain
11,Wajima,JP,37.4,136.9,64.78,70,77,15.17,broken clouds
12,Qaanaaq,GL,77.484,-69.3632,2.73,69,86,1.72,overcast clouds
13,Thompson,CA,55.7435,-97.8558,1.58,98,72,2.89,broken clouds
14,Road Town,VG,18.4167,-64.6167,80.69,89,40,8.05,scattered clouds
15,Pasni,PK,25.2631,63.471,79.25,64,0,8.72,clear sky
16,Tevriz,RU,57.509,72.4042,26.87,93,96,1.97,overcast clouds
17,Barrow,US,71.2906,-156.7887,8.62,92,100,4.61,overcast clouds
18,Jamestown,US,42.097,-79.2353,38.79,78,100,9.22,overcast clouds
19,Gazojak,TM,41.1875,61.4036,40.53,38,100,1.92,overcast clouds
20,Hambantota,LK,6.1241,81.1185,77.04,84,100,4.23,moderate rain
21,Hami,CN,42.8,93.45,30.49,58,9,1.81,clear sky
22,Banyo,CM,6.75,11.8167,69.67,51,91,2.75,overcast clouds
23,Portland,US,45.5234,-122.6762,54.77,57,20,3.44,few clouds
24,Cabo San Lucas,MX,22.8909,-109.9124,82.62,59,40,6.91,scattered clouds
25,Atuona,PF,-9.8,-139.0333,78.08,76,3,14.97,clear sky
26,Clarence Town,AU,-32.5833,151.7833,78.62,62,75,1.9,light rain
27,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,76,20,7.0,few clouds
28,Rikitea,PF,-23.1203,-134.9692,74.26,86,78,18.14,broken clouds
29,Nsunga,TZ,-1.1439,31.3947,61.72,91,99,2.28,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,51.69,68,36,2.59,scattered clouds
31,Lavrentiya,RU,65.5833,-171.0,15.89,82,9,11.7,clear sky
32,Hobart,AU,-42.8794,147.3294,55.26,69,75,2.3,moderate rain
33,Olinda,BR,-8.0089,-34.8553,78.53,83,75,10.36,mist
34,Ostrovnoy,RU,68.0531,39.5131,35.1,83,100,26.28,light snow
35,New Norfolk,AU,-42.7826,147.0587,54.91,63,100,1.01,overcast clouds
36,Brae,GB,60.3964,-1.353,53.22,96,100,8.23,overcast clouds
37,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,85,75,4.61,broken clouds
38,Kyra,RU,49.5776,111.9753,10.71,86,37,3.74,scattered clouds
39,Kologriv,RU,58.8275,44.3178,40.55,96,100,15.23,overcast clouds
40,Binga,ZW,-17.6203,27.3414,73.11,79,100,3.4,light rain
41,Longyearbyen,SJ,78.2186,15.6401,30.04,74,40,12.66,scattered clouds
42,San-Pedro,CI,4.7485,-6.6363,77.72,86,73,5.53,broken clouds
43,Kulhudhuffushi,MV,6.6221,73.07,80.92,73,60,6.02,broken clouds
44,Adrar,MR,20.5022,-10.0711,72.81,13,7,9.82,clear sky
45,High Level,CA,58.5169,-117.136,18.54,94,16,2.51,few clouds
46,Pevek,RU,69.7008,170.3133,0.41,93,100,7.58,overcast clouds
47,Saldanha,ZA,-33.0117,17.9442,60.01,91,0,8.95,light rain
48,Bluff,NZ,-46.6,168.3333,50.94,90,100,16.49,overcast clouds
49,Saskylakh,RU,71.9167,114.0833,-17.37,99,99,7.72,overcast clouds
50,Daulatpur,PK,26.5015,67.9706,75.07,38,33,6.24,scattered clouds
51,Mount Gambier,AU,-37.8333,140.7667,64.31,88,100,11.5,overcast clouds
52,Sola,VU,-13.8833,167.55,79.83,79,100,4.72,overcast clouds
53,Port Macquarie,AU,-31.4333,152.9167,78.89,63,51,10.42,broken clouds
54,Dikson,RU,73.5069,80.5464,-9.49,100,97,5.41,overcast clouds
55,Nantucket,US,41.2835,-70.0995,64.51,89,40,10.36,mist
56,Seoul,KR,37.5683,126.9778,52.99,71,93,6.62,overcast clouds
57,Hithadhoo,MV,-0.6,73.0833,81.32,72,65,16.4,broken clouds
58,Mataura,NZ,-46.1927,168.8643,52.27,90,97,4.88,light rain
59,Evensk,RU,61.95,159.2333,14.68,93,100,6.42,overcast clouds
60,San Quintin,MX,30.4833,-115.95,64.96,49,9,12.15,clear sky
61,Lasa,IT,46.6166,10.7002,49.44,45,75,1.1,broken clouds
62,Cape Town,ZA,-33.9258,18.4232,62.89,88,1,3.0,clear sky
63,Ribeira Grande,PT,38.5167,-28.7,60.78,68,100,5.99,overcast clouds
64,Ornes,NO,66.8689,13.7078,44.06,91,100,8.59,overcast clouds
65,Bredasdorp,ZA,-34.5322,20.0403,60.98,81,2,11.03,clear sky
66,Erenhot,CN,43.6475,111.9767,25.68,64,1,10.31,clear sky
67,Arraial Do Cabo,BR,-22.9661,-42.0278,72.1,93,6,10.11,clear sky
68,Surt,LY,31.2089,16.5887,66.9,67,0,3.83,clear sky
69,Puerto Ayora,EC,-0.7393,-90.3518,70.56,84,33,8.01,scattered clouds
70,Malanville,BJ,11.8685,3.3899,79.86,29,43,5.48,scattered clouds
71,Kaitangata,NZ,-46.2817,169.8464,61.66,54,85,6.67,overcast clouds
72,Noumea,NC,-22.2763,166.4572,80.58,80,99,15.79,overcast clouds
73,Pankovka,RU,58.5,31.1999,47.52,69,27,18.12,scattered clouds
74,Butaritari,KI,3.0707,172.7902,80.13,74,100,14.63,overcast clouds
75,Kapaa,US,22.0752,-159.319,75.47,82,100,13.8,light rain
76,Khatanga,RU,71.9667,102.5,-23.06,98,98,8.32,overcast clouds
77,Yellowknife,CA,62.456,-114.3525,13.8,98,97,3.18,overcast clouds
78,Bambous Virieux,MU,-20.3428,57.7575,68.22,70,0,7.23,clear sky
79,Talaya,RU,61.3833,152.75,-23.78,98,97,0.83,overcast clouds
80,Norrtalje,SE,59.758,18.705,46.02,77,43,5.77,scattered clouds
81,Gazanjyk,TM,39.2446,55.5154,51.42,41,98,5.84,overcast clouds
82,Airai,TL,-8.9266,125.4092,67.06,80,70,2.26,broken clouds
83,Port Elizabeth,ZA,-33.918,25.5701,63.32,81,88,11.99,overcast clouds
84,Rio Gallegos,AR,-51.6226,-69.2181,51.85,46,20,11.5,few clouds
85,Severo-Kurilsk,RU,50.6789,156.125,35.19,63,99,16.51,overcast clouds
86,Quatre Cocos,MU,-20.2078,57.7625,68.09,70,0,8.03,clear sky
87,Chuy,UY,-33.6971,-53.4616,64.45,94,100,11.07,overcast clouds
88,Camacha,PT,33.0833,-16.3333,65.62,77,20,3.44,few clouds
89,Pestretsy,RU,55.7531,49.6545,48.34,75,100,26.8,overcast clouds
90,Hermanus,ZA,-34.4187,19.2345,61.81,86,1,12.06,light rain
91,Ilanskiy,RU,56.2358,96.065,28.78,76,79,7.76,broken clouds
92,San Cristobal,VE,7.7669,-72.225,67.71,98,100,0.2,overcast clouds
93,Upernavik,GL,72.7868,-56.1549,11.16,84,33,11.74,scattered clouds
94,Srednekolymsk,RU,67.45,153.6833,-24.41,99,81,7.87,broken clouds
95,Poum,NC,-20.2333,164.0167,77.29,78,56,19.42,broken clouds
96,Buala,SB,-8.145,159.5921,84.07,72,100,6.06,light rain
97,Iqaluit,CA,63.7506,-68.5145,7.7,71,100,8.01,overcast clouds
98,Labuhan,ID,-6.8844,112.2051,78.94,85,100,7.05,moderate rain
99,Almaznyy,RU,48.0448,40.045,42.93,80,5,18.97,clear sky
100,Khani,GE,41.9563,42.9566,38.77,80,42,3.2,scattered clouds
101,Kismayo,SO,-0.3582,42.5454,77.05,83,17,8.08,few clouds
102,Ilulissat,GL,69.2167,-51.1,30.22,47,75,6.91,broken clouds
103,Cidreira,BR,-30.1811,-50.2056,68.36,88,94,18.21,overcast clouds
104,La Roche-Sur-Yon,FR,46.6667,-1.4333,55.67,88,0,4.61,clear sky
105,Bilma,NE,18.6853,12.9164,69.04,29,2,8.43,clear sky
106,Saint-Francois,FR,46.4154,3.9054,45.84,100,100,4.61,mist
107,Bethel,US,41.3712,-73.414,61.68,73,0,1.01,clear sky
108,Cockburn Town,TC,21.4612,-71.1419,81.52,75,24,12.12,few clouds
109,Mar Del Plata,AR,-38.0023,-57.5575,66.09,95,100,8.05,overcast clouds
110,Qostanay,KZ,53.1667,63.5833,35.89,93,100,20.13,light shower sleet
111,Fortuna,US,40.5982,-124.1573,55.74,86,100,13.8,overcast clouds
112,Meulaboh,ID,4.1363,96.1285,74.08,96,100,1.14,overcast clouds
113,Talnakh,RU,69.4865,88.3972,-27.38,93,18,3.11,few clouds
114,Esperance,AU,-33.8667,121.9,55.24,74,88,19.1,overcast clouds
115,Vaini,TO,-21.2,-175.2,77.18,85,78,21.79,light rain
116,Canarana,BR,-11.6847,-41.7689,74.84,67,90,7.25,overcast clouds
117,Tiznit,MA,29.5833,-9.5,69.06,23,8,10.45,clear sky
118,Sao Filipe,CV,14.8961,-24.4956,76.91,71,5,7.92,clear sky
119,Makakilo City,US,21.3469,-158.0858,79.12,64,100,13.8,overcast clouds
120,Batemans Bay,AU,-35.7167,150.1833,65.1,96,100,4.63,light rain
121,Muros,ES,42.7762,-9.0603,54.68,92,94,8.3,light rain
122,Mancio Lima,BR,-7.6142,-72.8958,82.62,65,100,3.22,moderate rain
123,Camocim,BR,-2.9022,-40.8411,79.43,75,65,12.71,broken clouds
124,Bengkulu,ID,-3.8004,102.2655,74.89,94,100,4.38,overcast clouds
125,Waipawa,NZ,-41.4122,175.5153,55.6,93,100,0.98,overcast clouds
126,Jonkoping,SE,57.7814,14.1562,53.38,100,100,4.61,overcast clouds
127,Den Helder,NL,52.9599,4.7593,49.98,89,20,5.99,few clouds
128,Ancud,CL,-41.8697,-73.8203,54.18,80,81,4.68,broken clouds
129,Buraydah,SA,26.326,43.975,64.81,52,2,10.13,clear sky
130,Norman Wells,CA,65.282,-126.8329,17.01,94,100,4.14,overcast clouds
131,Nichinan,JP,31.6,131.3667,65.88,94,96,12.19,overcast clouds
132,Sakhipur,BD,24.3,90.1833,65.44,67,3,5.37,clear sky
133,Poddorye,RU,57.4695,31.1156,45.95,76,15,13.8,few clouds
134,Puerto Rico,AR,-26.796,-55.024,75.58,84,100,4.7,overcast clouds
135,Vardo,NO,70.3705,31.1107,37.38,65,100,18.41,overcast clouds
136,Katete,UG,-0.7818,29.7544,59.94,98,100,2.17,overcast clouds
137,Jimo,CN,36.3897,120.4622,42.21,60,45,12.1,scattered clouds
138,Avarua,CK,-21.2078,-159.775,75.25,64,40,12.66,scattered clouds
139,Port Alfred,ZA,-33.5906,26.891,61.18,96,100,5.01,moderate rain
140,Mahebourg,MU,-20.4081,57.7,68.25,70,0,6.58,clear sky
141,Aswan,EG,24.0934,32.907,69.82,33,3,12.24,clear sky
142,Tuatapere,NZ,-46.1333,167.6833,49.71,95,100,1.5,overcast clouds
143,Morros,BR,-9.4467,-46.3003,80.04,62,48,5.95,scattered clouds
144,Botro,CI,7.8525,-5.3106,71.94,92,66,4.74,light rain
145,Lodja,CD,-3.4833,23.4333,69.08,88,79,0.18,broken clouds
146,Coihaique,CL,-45.5752,-72.0662,62.55,51,40,4.61,scattered clouds
147,Curillo,CO,1.0333,-75.9191,76.17,85,89,3.83,overcast clouds
148,Narsaq,GL,60.9167,-46.05,37.62,74,99,5.5,overcast clouds
149,Anahuac,MX,27.2333,-100.15,62.82,27,17,8.63,few clouds
150,Tautira,PF,-17.7333,-149.15,76.12,81,100,12.1,light rain
151,Ahuimanu,US,21.4447,-157.8378,80.78,74,75,10.36,light rain
152,Fernandopolis,BR,-20.2839,-50.2464,76.42,55,99,5.82,overcast clouds
153,Toora-Khem,RU,52.4675,96.11,9.79,95,94,1.32,overcast clouds
154,Georgetown,MY,5.4112,100.3354,78.73,94,20,0.0,few clouds
155,Duzce,TR,40.8389,31.1639,51.91,62,0,3.13,clear sky
156,Port Lincoln,AU,-34.7333,135.8667,62.74,73,58,22.24,broken clouds
157,Wladyslawowo,PL,54.7909,18.4009,53.94,94,71,7.27,broken clouds
158,Belaya Gora,RU,68.5333,146.4167,-31.09,100,87,4.34,overcast clouds
159,Dunedin,NZ,-45.8742,170.5036,60.21,59,74,8.59,broken clouds
160,Malmesbury,ZA,-33.4608,18.7271,59.77,96,1,3.18,light rain
161,Kununurra,AU,-15.7667,128.7333,84.18,70,51,5.75,broken clouds
162,Thinadhoo,MV,0.5333,72.9333,81.23,78,94,16.71,overcast clouds
163,Sorong,ID,-0.8833,131.25,81.18,78,99,3.67,overcast clouds
164,Acajutla,SV,13.5928,-89.8275,80.87,80,29,6.4,scattered clouds
165,Rawson,AR,-43.3002,-65.1023,61.93,57,95,18.48,overcast clouds
166,Cusco,PE,-13.5183,-71.9781,66.43,9,87,12.66,overcast clouds
167,Kavieng,PG,-2.5744,150.7967,84.36,71,100,11.99,overcast clouds
168,Tilichiki,RU,60.4667,166.1,16.95,89,100,6.26,overcast clouds
169,Ubauro,PK,28.1652,69.7289,69.42,34,38,3.74,scattered clouds
170,Pangnirtung,CA,66.1451,-65.7125,-5.06,86,45,5.93,scattered clouds
171,Kieta,PG,-6.2167,155.6333,81.72,79,100,3.42,light rain
172,Rudnyy,KZ,52.9594,63.1206,35.83,97,100,22.17,light rain
173,Berlevag,NO,70.8578,29.0864,37.35,70,100,11.5,overcast clouds
174,Bethanien,NA,-26.502,17.1583,56.44,52,0,8.5,clear sky
175,Provideniya,RU,64.3833,-173.3,15.62,75,3,8.79,clear sky
176,Erzincan,TR,39.75,39.5,29.5,93,0,1.14,mist
177,Hilo,US,19.7297,-155.09,82.26,74,20,10.36,few clouds
178,Codrington,AU,-38.2667,141.9667,60.44,95,79,5.93,broken clouds
179,Tallahassee,US,30.4383,-84.2807,73.99,67,0,6.91,clear sky
180,Shimoda,JP,34.6667,138.95,68.11,74,50,11.65,scattered clouds
181,Hamilton,US,39.1834,-84.5333,33.24,88,100,11.5,overcast clouds
182,Klaksvik,FO,62.2266,-6.589,49.12,93,100,14.7,overcast clouds
183,Rio Grande,BR,-32.035,-52.0986,69.91,94,100,16.75,light rain
184,Hengyang,CN,26.8881,112.615,58.53,61,78,8.59,broken clouds
185,Alice Springs,AU,-23.7,133.8833,76.55,47,4,9.22,clear sky
186,Kirakira,SB,-10.4544,161.9205,83.41,72,76,5.66,light rain
187,Maiduguri,NG,11.8464,13.1603,73.81,30,26,9.71,scattered clouds
188,Gusau,NG,12.1628,6.6614,75.33,27,6,7.83,clear sky
189,Zaysan,KZ,47.4667,84.8667,35.62,57,100,3.02,overcast clouds
190,Pareora,NZ,-44.4871,171.2132,62.49,70,46,11.01,scattered clouds
191,Roebourne,AU,-20.7833,117.1333,79.23,18,0,18.01,light rain
192,Torbay,CA,47.6666,-52.7314,48.27,98,100,26.46,moderate rain
193,Atasu,KZ,48.6814,71.6433,27.79,94,99,17.27,overcast clouds
194,La Ronge,CA,55.1001,-105.2842,17.8,82,100,11.27,overcast clouds
195,Reconquista,AR,-29.15,-59.65,66.27,95,98,8.01,light rain
196,Tarbes,FR,43.25,0.1667,50.49,77,0,4.61,clear sky
197,Valdivia,CL,-39.8142,-73.2459,59.09,74,50,3.18,moderate rain
198,Ravar,IR,31.2656,56.8055,54.57,56,63,2.68,broken clouds
199,Ambon,ID,-3.6954,128.1814,80.74,14,20,5.75,few clouds
200,Okha,RU,53.5739,142.9478,21.58,72,9,7.61,clear sky
201,Clarksburg,US,39.2807,-80.3445,41.31,99,100,6.15,overcast clouds
202,Nikolskoye,RU,59.7035,30.7861,49.89,67,58,16.69,broken clouds
203,Huron,US,41.1501,-82.5499,35.06,91,99,9.82,overcast clouds
204,Ruston,US,32.5232,-92.6379,48.02,49,0,8.05,clear sky
205,Chokurdakh,RU,70.6333,147.9167,-20.85,99,100,6.82,overcast clouds
206,Kalmunai,LK,7.4167,81.8167,75.45,86,100,2.82,moderate rain
207,Los Andes,CL,-32.8337,-70.5983,58.01,78,100,3.71,overcast clouds
208,Castro,BR,-24.7911,-50.0119,63.7,84,52,5.68,broken clouds
209,Carutapera,BR,-1.195,-46.02,78.46,80,59,7.87,broken clouds
210,Mildura,AU,-34.2,142.15,66.16,100,100,6.91,overcast clouds
211,Lugovoy,KZ,42.9472,72.7644,34.9,55,0,4.92,clear sky
212,Clyde River,CA,70.4692,-68.5914,-9.99,92,40,5.79,scattered clouds
213,Pemangkat,ID,1.1667,108.9667,76.62,88,99,5.48,overcast clouds
214,Caravelas,BR,-17.7125,-39.2481,75.97,84,83,8.79,broken clouds
215,East London,ZA,-33.0153,27.9116,66.11,92,100,19.62,overcast clouds
216,Hokitika,NZ,-42.7167,170.9667,61.43,65,26,9.53,scattered clouds
217,Hammerfest,NO,70.6634,23.6821,36.05,93,75,2.3,broken clouds
218,Saint Anthony,US,45.0205,-93.218,28.35,64,100,11.5,overcast clouds
219,Daru,PG,-9.0763,143.2092,83.55,74,81,11.05,broken clouds
220,Haines Junction,CA,60.7522,-137.5108,30.94,90,25,6.4,scattered clouds
221,Balikpapan,ID,-1.2675,116.8289,77.99,89,20,2.3,few clouds
